2026-07-14 13:06:49.841 | INFO     | app.main:<module>:17 - Application Started
2026-07-14 13:06:58.354 | INFO     | app.main:<module>:17 - Application Started
2026-07-14 13:07:03.076 | INFO     | app.main:<module>:17 - Application Started
2026-07-14 13:07:06.785 | INFO     | app.main:<module>:17 - Application Started
2026-07-14 13:07:26.699 | INFO     | app.main:<module>:17 - Application Started
2026-07-14 13:07:35.683 | INFO     | app.main:<module>:17 - Application Started
2026-07-14 13:07:38.774 | INFO     | app.main:<module>:17 - Application Started
2026-07-14 13:07:44.363 | INFO     | app.main:<module>:17 - Application Started
2026-07-14 13:07:46.114 | INFO     | app.main:<module>:17 - Application Started
2026-07-14 13:07:50.293 | INFO     | app.main:<module>:17 - Application Started
2026-07-14 13:07:52.320 | INFO     | app.main:<module>:17 - Application Started
2026-07-14 13:07:53.759 | INFO     | app.main:<module>:17 - Application Started
2026-07-14 13:08:00.473 | INFO     | app.main:<module>:17 - Application Started
2026-07-14 13:08:03.740 | INFO     | app.main:<module>:17 - Application Started
2026-07-14 13:08:06.602 | INFO     | app.main:<module>:17 - Application Started
2026-07-14 13:08:10.122 | INFO     | app.main:<module>:17 - Application Started
2026-07-14 13:08:12.344 | INFO     | app.main:<module>:17 - Application Started
2026-07-14 13:08:49.636 | INFO     | app.main:<module>:17 - Application Started
2026-07-14 13:09:02.102 | INFO     | app.main:<module>:17 - Application Started
2026-07-14 13:09:05.316 | INFO     | app.main:<module>:17 - Application Started
2026-07-14 13:09:08.828 | INFO     | app.main:<module>:17 - Application Started
2026-07-14 13:09:13.661 | INFO     | app.main:<module>:17 - Application Started
2026-07-14 13:09:16.094 | INFO     | app.main:<module>:17 - Application Started
2026-07-14 13:09:18.631 | INFO     | app.main:<module>:17 - Application Started
2026-07-14 13:09:22.137 | INFO     | app.main:<module>:17 - Application Started
2026-07-14 13:09:25.034 | INFO     | app.main:<module>:17 - Application Started
2026-07-14 13:09:27.455 | INFO     | app.main:<module>:17 - Application Started
2026-07-14 13:09:30.548 | INFO     | app.main:<module>:17 - Application Started
2026-07-14 13:09:34.506 | INFO     | app.main:<module>:17 - Application Started
2026-07-14 13:36:03.529 | INFO     | app.main:<module>:17 - Application Started
2026-07-14 13:36:04.952 | INFO     | app.main:<module>:17 - Application Started
2026-07-14 13:40:04.608 | INFO     | app.main:<module>:17 - Application Started
2026-07-14 13:40:10.967 | INFO     | app.main:<module>:17 - Application Started
2026-07-14 13:42:21.547 | INFO     | app.main:<module>:17 - Application Started
2026-07-14 13:46:06.538 | INFO     | app.main:<module>:17 - Application Started
2026-07-14 13:46:09.354 | INFO     | app.main:<module>:17 - Application Started
2026-07-14 13:46:34.674 | INFO     | app.main:<module>:17 - Application Started
2026-07-14 13:46:37.694 | INFO     | app.main:<module>:17 - Application Started
2026-07-14 13:46:40.250 | INFO     | app.main:<module>:17 - Application Started
2026-07-14 13:46:43.607 | INFO     | app.main:<module>:17 - Application Started
2026-07-14 13:46:46.284 | INFO     | app.main:<module>:17 - Application Started
2026-07-14 13:46:48.090 | INFO     | app.main:<module>:17 - Application Started
2026-07-14 13:46:51.807 | INFO     | app.main:<module>:17 - Application Started
2026-07-14 13:46:56.753 | INFO     | app.main:<module>:17 - Application Started
2026-07-14 13:48:39.913 | INFO     | app.main:<module>:17 - Application Started
2026-07-14 13:48:59.174 | INFO     | app.main:<module>:17 - Application Started
2026-07-14 13:49:03.683 | INFO     | app.main:<module>:17 - Application Started
2026-07-14 13:49:06.029 | INFO     | app.main:<module>:17 - Application Started
2026-07-14 13:49:08.213 | INFO     | app.main:<module>:17 - Application Started
2026-07-14 13:49:12.194 | INFO     | app.main:<module>:17 - Application Started
2026-07-14 13:49:47.697 | INFO     | app.main:<module>:17 - Application Started
2026-07-14 13:49:54.701 | INFO     | app.main:<module>:17 - Application Started
2026-07-14 13:50:16.761 | INFO     | app.main:<module>:17 - Application Started
2026-07-14 13:53:50.711 | INFO     | app.main:<module>:17 - Application Started
2026-07-14 13:53:52.145 | INFO     | app.main:<module>:17 - Application Started
2026-07-14 13:53:55.509 | INFO     | app.main:<module>:17 - Application Started
2026-07-14 13:53:58.205 | INFO     | app.main:<module>:17 - Application Started
2026-07-14 13:54:05.051 | INFO     | app.main:<module>:17 - Application Started
2026-07-14 13:54:08.917 | INFO     | app.main:<module>:17 - Application Started
2026-07-14 13:55:36.883 | INFO     | app.main:<module>:17 - Application Started
2026-07-14 13:55:38.180 | INFO     | app.main:<module>:17 - Application Started
2026-07-14 13:55:41.209 | INFO     | app.main:<module>:17 - Application Started
2026-07-14 13:55:45.866 | INFO     | app.main:<module>:17 - Application Started
2026-07-14 13:55:48.793 | INFO     | app.main:<module>:17 - Application Started
2026-07-14 13:56:11.302 | INFO     | app.main:<module>:17 - Application Started
2026-07-14 13:56:12.612 | INFO     | app.main:<module>:17 - Application Started
2026-07-14 13:56:19.360 | INFO     | app.main:<module>:17 - Application Started
